,Headline,Url
0,4 terror suspects with Pak link held from Karnal; CM Khattar orders..,https://english.jagran.com/latest-news?itm_medium=latestnews&itm_source=web&itm_campaign=navigation/india/4-terror-suspects-arrested-with-explosives-from-karnal-cm-khattar-orders-thorough-probe-10042978
1,Amit Shah inaugurates BSF's floating border outposts in West Bengal's..,https://english.jagran.com/latest-news?itm_medium=latestnews&itm_source=web&itm_campaign=navigation/india/amit-shah-inaugurates-bsfs-floating-border-outposts-in-west-bengals-hingalganj-10042982
2,'We’d love to see a future together...': Malaika Arora drops hint on..,https://english.jagran.com/latest-news?itm_medium=latestnews&itm_source=web&itm_campaign=navigation/entertainment/wed-love-to-see-a-future-together-malaika-arora-drops-hint-on-marriage-plans-with-arjun-kapoor-10042981
3,"Breaking News Today, May 5 LIVE | PM Modi returns to India after..",https://english.jagran.com/latest-news?itm_medium=latestnews&itm_source=web&itm_campaign=navigation/india/breaking-news-today-may-5-live-updates-india-business-entertainment-sports-pm-modi-assembly-elections-heatwave-10042956
4,"Amazon Summer Sale 2022: From iPhone 13 to Dell Vostro 3405, 10 best deals..",https://english.jagran.com/latest-news?itm_medium=latestnews&itm_source=web&itm_campaign=navigation/technology/amazon-summer-sale-2022-from-iphone-13-to-dell-vostro-3405-10-best-deals-on-smartphones-laptops-and-other-electronics-10042979
5,Varun Dhawan's chiseled look flaunting ripped abs is a perfect mid-week..,https://english.jagran.com/latest-news?itm_medium=latestnews&itm_source=web&itm_campaign=navigation/entertainment/varun-dhawans-chiseled-look-flaunting-ripped-abs-is-a-perfect-midweek-motivation-see-here-10042980
6,Anti-encroachment drive near Shaheen Bagh cancelled due to inadequate..,https://english.jagran.com/latest-news?itm_medium=latestnews&itm_source=web&itm_campaign=navigation/india/antiencroachment-drive-near-shaheen-bagh-cancelled-due-to-inadequate-police-force-10042977
7,Dehradun's Welham Girls' School declared micro-containment zone after 7..,https://english.jagran.com/latest-news?itm_medium=latestnews&itm_source=web&itm_campaign=navigation/india/dehraduns-welham-girls-school-declared-microcontainment-zone-after-7-covid-cases-in-premises-10042976
8,Anek Trailer OUT: Ayushmann Khurrana's undercover cop avatar will keep you..,https://english.jagran.com/latest-news?itm_medium=latestnews&itm_source=web&itm_campaign=navigation/entertainment/anek-trailer-out-ayushmann-khurranas-undercover-cop-avatar-will-keep-you-hooked-to-your-seats-watch-10042974
9,भ्रूण हत्या कानूनी के साथ सामाजिक अपराध,https://www.livehindustan.com/uttar-pradesh/badaun/story-social-crime-with-feticide-legal-6430170.html
10,साइबर अपराध से बचाव को जागरूक हुए विद्यार्थी,https://www.livehindustan.com/uttar-pradesh/bhadoni/story-students-became-aware-of-prevention-of-cyber-crime-6427359.html
11,'Why Rahul has ties only with…': BJP's fresh jibe over Gandhi's Nepal video,https://www.hindustantimes.com/india-news/why-rahul-has-ties-only-with-bjp-s-fresh-jibe-over-gandhi-s-nepal-video-101651643307624.html
12,Cyber crime: Experts dwell on legal issues,https://www.tribuneindia.com/news/chandigarh/cyber-crime-experts-dwell-on-legal-issues-391331
13,"Girl, 13, is gang-raped by four men in India - only to be raped again by a police officer when she reported the attack",https://www.dailymail.co.uk/news/article-10785005/Girl-13-gang-raped-four-men-India-raped-officer-reported-it.html
14,Joint coordination team holds conference in Chandigarh to discuss cybercrime,https://www.msn.com/en-in/news/other/joint-coordination-team-holds-conference-in-chandigarh-to-discuss-cybercrime/ar-AAWQkDk?ocid=BingNewsSearch
15,Explained: The role of Shantilal Shah Committee that recommended making abortion legal in India and the evolution of the law,https://www.firstpost.com/india/explained-the-role-of-shantilal-shah-committee-india-abortion-law-mtp-act-10635911.html
16,"'Yes, he was at Lord of the Drinks': Kathmandu nightclub confirms Rahul Gandhi partied there",https://www.msn.com/en-in/news/other/yes-he-was-at-lord-of-the-drinks-kathmandu-nightclub-confirms-rahul-gandhi-partied-there/ar-AAWV4Lu?ocid=BingNewsSearch
17,"SHO, who allegedly raped a minor in UP's Lalitpur, arrested; NHRC seeks report",https://zeenews.india.com/uttar-pradesh/sho-who-allegedly-raped-a-minor-in-ups-lalitpur-arrested-in-prayagraj-2460249.html
18,BJP Levels Fresh Salvo At Rahul Gandhi Over Party Video; Slams Cong Leader's Nepal Visit,https://www.republicworld.com/india-news/politics/bjp-levels-fresh-salvo-at-rahul-gandhi-over-party-video-slams-cong-leaders-nepal-visit-articleshow.html
