,Headline,Url,Date
0,"Animal rights group raises concern over ‘ill-treatment of equines & mules’, demands their health check-up",https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/animal-rights-group-raises-concern-over-ill-treatment-of-equines-mules-demands-their-health-check-up/articleshow/91846867.cms,23/11/22
1,‘Secy for co-op societies to be appointed soon’,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/secy-for-co-op-societies-to-be-appointed-soon/articleshow/91846863.cms,23/11/22
2,Pilgrim death toll continues to rise,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/pilgrim-death-toll-continues-to-rise/articleshow/91846862.cms,23/11/22
3,"HC bar association elections held, 792 members cast vote",https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/hc-bar-association-elections-held-792-members-cast-vote/articleshow/91846861.cms,23/11/22
4,Family stopped from cremation in Doon,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/family-stopped-from-cremation-in-doon/articleshow/91846857.cms,23/11/22
5,"Twins who suffered electric shock die, probe ordered",https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/twins-who-suffered-electric-shock-die-probe-ordered/articleshow/91846855.cms,23/11/22
6,"Family stopped from performing last rites at cremation ground, locals allege land mafia involvement",https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/family-stopped-from-performing-last-rites-at-cremation-ground-locals-allege-land-mafia-involvement/articleshow/91841916.cms,23/11/22
7,Char Dham: Animal rights group raises concern over 'ill treatment' of equines,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/char-dham-animal-rights-group-raises-concern-over-ill-treatment-of-equines/articleshow/91841901.cms,23/11/22
8,Death toll of Char Dham pilgrims continues to rise; 83 dead in 24 days of yatra,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/death-toll-of-char-dham-pilgrims-continues-to-rise-83-dead-in-24-days-of-yatra/articleshow/91841907.cms,23/11/22
9,BJP MLA’s sister-in-law detained at Kochi airport for ‘multi-crore property fraud case in Doon’,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/bjp-mlas-sister-in-law-detained-at-kochi-airport-for-multi-crore-property-fraud-case-in-doon/articleshow/91841887.cms,23/11/22
10,5-member committee set up to implement Uniform Civil Code,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/5-member-committee-set-up-to-implement-uniform-civil-code/articleshow/91842299.cms,23/11/22
11,"Twins who suffered electric shock die, probe ordered",https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/twins-who-suffered-electric-shock-die-probe-ordered/articleshow/91842228.cms,23/11/22
12,"HC bar association elections held, 792 members cast vote",https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/hc-bar-association-elections-held-792-members-cast-vote/articleshow/91841541.cms,23/11/22
13,"3 pilgrims from Maharashtra killed, 10 injured on way to Yamunotri",https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/3-pilgrims-from-maharashtra-killed-10-injured-on-way-to-yamunotri/articleshow/91842129.cms,23/11/22
14,Scientists install ‘atmospheric water generator’ units in 15 schools in Uttarakhand to tackle water supply issues,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/scientists-install-atmospheric-water-generator-units-in-15-schools-in-uttarakhand-to-tackle-water-supply-issues/articleshow/91841997.cms,23/11/22
15,Pilgrim deaths reignite demand for Yamunotri ropeway,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/pilgrim-deaths-reignite-demand-for-yamunotri-ropeway/articleshow/91841992.cms,23/11/22
16,Devotee casualties reignite demand for Yamunotri ropeway,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/devotee-casualties-reignite-demand-for-yamunotri-ropeway/articleshow/91844388.cms,23/11/22
17,U’khand: Atmospheric water generator units installed in 15 schools,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/ukhand-atmospheric-water-generator-units-installed-in-15-schools/articleshow/91844386.cms,23/11/22
18,"'No right to property if parents tortured', says Haridwar SDM Puran Singh Rana",https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/no-right-to-property-if-parents-tortured-says-haridwar-sdm-puran-singh-rana/articleshow/91825923.cms,23/11/22
19,Flip-flop over photography point at Kedar; Cong and some in BJP oppose move,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/flip-flop-over-photography-point-at-kedar-cong-and-some-in-bjp-oppose-move/articleshow/91825174.cms,23/11/22
20,"Uttarakhand elephants eating plastic, glass, wires: Study",https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/ukhand-jumbos-eating-plastic-glass-wires-study/articleshow/91825173.cms,23/11/22
21,Enhancing hydro-power capacity key for energy policy: Cabinet minister,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/enhancing-hydro-power-capacity-key-for-energy-policy-cabinet-minister/articleshow/91825171.cms,23/11/22
22,2 new suspension bridges to Nepal open for public,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/2-new-suspension-bridges-to-nepal-open-for-public/articleshow/91825168.cms,23/11/22
23,Man held with black bear bile in US Nagar,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/man-held-with-black-bear-bile-in-us-nagar/articleshow/91825167.cms,23/11/22
24,Handloom expo held in Doon after Covid break,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/handloom-expo-held-in-doon-after-covid-break/articleshow/91825165.cms,23/11/22
25,Constable injured in encounter with thugs,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/constable-injured-in-encounter-with-thugs/articleshow/91825163.cms,23/11/22
26,Man held with black bear bile in US Nagar,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/man-held-with-black-bear-bile-in-us-nagar/articleshow/91820729.cms,23/11/22
27,Compost from waste to be given to farmers soon,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/compost-from-waste-to-be-given-to-farmers-soon/articleshow/91820722.cms,23/11/22
28,‘No right to parents’ property for children who torture them’,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/no-right-to-parents-property-for-children-who-torture-them/articleshow/91820683.cms,23/11/22
29,"Mussoorie lake: A symbol of mismanagement, say locals",https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/mussoorie-lake-a-symbol-of-mismanagement-say-locals/articleshow/91820657.cms,23/11/22
30,2 new suspension bridges to Nepal open for public,https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/2-new-suspension-bridges-to-nepal-open-for-public/articleshow/91820626.cms,23/11/22
31,"‘After initial success, Ghasyari Yojana extended to 4 more dists’",https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/after-initial-success-ghasyari-yojana-extended-to-4-more-dists/articleshow/91820609.cms,23/11/22
32,"Ex-Uttarakhand minister Rajendra Bahuguna climbs water tank, shoots himself dead",https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/former-mos-climbs-water-tank-shoots-himself-dead/articleshow/91820591.cms,23/11/22
33,"After a break of two years due to the pandemic, National Handloom Expo takes place in Doon; Haridwar prisoners and women groups showcase designs",https://timesofindia.indiatimes.com/city/dehradun/city/dehradun/after-a-break-of-two-years-due-to-the-pandemic-national-handloom-expo-takes-place-in-doon-haridwar-prisoners-and-women-groups-showcase-designs/articleshow/91820548.cms,23/11/22
