,ward_name,count
0,Dehradun Municipal Corporation,0
1,Dehradun Cantonment Board,0
2,Raipur Census Town,0
3,Mussoorie Nagar Palika Parishad,0
4,Clement Town Cantonment Board,0
5,Natthan Pur Census Town,0
6,Mehu Wala Mafi Census Town,0
7,Natthuwa Wala Census Town,0
8,Doiwala Nagar Panchayat,0
9,Landaur Cantonment Board,0
10,Akhandwali Bhilang,0
11,Amwala Karanpur,0
12,Amwala Manjhala,0
13,Amwala Tarala,0
14,Arcadia Grant,0
15,Asarori,0
16,Ashkrodi Range,0
17,Asthal,0
18,Badripur,0
19,Bagradhauran,0
20,Bagral Gaon,0
21,Bajhet,0
22,Balawala,0
23,Bandawali,0
24,Banjarewala Mafi,0
25,Banvtha,0
26,Barasi Grant,0
27,Bhagwant Pur,0
28,Bhaiswargaon,0
29,Bhandar Gaon,0
30,Bhandariwala,0
31,Bhitar Wali,0
32,Bhopalpani Grant,0
33,Bilas Pur Kandali,0
34,Bisht Gaon,0
35,Brahman Gaon,0
36,Chaktonwala Grant,0
37,Chalang,0
38,Chamasari,0
39,Chandrabani,0
40,Chandrothi,0
41,Chandrvani Grant,0
42,Chandrwani Khalsa,0
43,Chhamroli,0
44,Daiswala,0
45,Danda Dhoran,0
46,Danda Khudanewala,0
47,Danda Lakhaur,0
48,Danda Nooriwala,0
49,Danion Ka Danda,0
50,Dhanaula,0
51,Doiwala,0
52,Doom Gaon,0
53,Dudhali,0
54,Dumal Gaon,0
55,Dwara,0
56,Fuleta,0
57,Gajiawala,0
58,Galajwari,0
59,Gangole Pandit Wari,0
60,Ghanghora,0
61,Ghissar Pari,0
62,Gujrami,0
63,Gujrara Mansingh,0
64,Guniyal Gaon,0
65,Hansuwala,0
66,Harbans Wala,0
67,Harbhaj Wala,0
68,Haripur,0
69,Hariyawala Khurd,0
70,Harrawala,0
71,Haryawala,0
72,Hatwalgaon,0
73,Jagatkhana,0
74,Jamniwala,0
75,Jamoliwala,0
76,Johari,0
77,Kairwan Karanpur,0
78,Kalagaon,0
79,Kalimati,0
80,Karliguard,0
81,Khala Gaon,0
82,Kheragopiwala,0
83,Kheri Mansingh,0
84,Khuranwa,0
85,Kirsali,0
86,Kirsali Gaon,0
87,Kishan Pur,0
88,Kiwara,0
89,Kulhan Karanpur,0
90,Kulhan Mansingh,0
91,Kuthal Gaon,0
92,Kuwan Wala,0
93,Kyar Kuli Bhatta,0
94,Lachhi Wala,0
95,Lachhiwala Range,0
96,Ladpur,0
97,Majari Mafi,0
98,Majhara,0
99,Makka Wala,0
100,Malsi,0
101,Mangaluwala,0
102,Marautha,0
103,Markham Grant,0
104,Missar Wala Kala,0
105,Missar Wala Khurd,0
106,Mitt Behti,0
107,Miyanwala,0
108,Mohabbey Wala,0
109,Mohammadpur Barkali,0
110,Mohkam Pur Kala,0
111,Mohkam Pur Khurd,0
112,Motharo Wala,0
113,Motidhar,0
114,Mussorie Range,0
115,Mussorie Range,0
116,Nagal Bulandawala,0
117,Nagal Jwalapur,0
118,Nagalhat Nala,0
119,Nakraunda,0
120,Naliwala,0
121,Nanur Khera,0
122,Nawada,0
123,Paw Wala Soda,0
124,Phanduwala,0
125,Pitthuwala,0
126,Punkal Gaon,0
127,Purohit Wala,0
128,Pustari,0
129,Raipur Range,0
130,Ramgarh Range,0
131,Reniwala,0
132,Rikhauli,0
133,Salan Gaon,0
134,Saloniwala,0
135,Sarauna,0
136,Sarkhet,0
137,Saundhauwali Mansingh,0
138,Sera goan,0
139,Seraki,0
140,Shewala Kala,0
141,Shewala Khurd,0
142,Sigli,0
143,Silla,0
144,Simiyari,0
145,Simlas Grant,0
146,Sinaula,0
147,Sindhauwali Dhauran,0
148,Sodasaroli,0
149,Sunderwala,0
150,Tarla Nagal,0
151,Thewa,0
152,Tibbanala Pani,0
153,Timilimansingh,0
154,Utari Gaon,0
155,Vijepur Gopiwala,0
156,Vijepur Hathibarkala,0
