,ward_name,count,latitude,longitude 
0,Dehradun Municipal Corporation,0,,
1,Dehradun Cantonment Board,0,,
2,Raipur Census Town,0,30.30603,78.098587
3,Mussoorie Nagar Palika Parishad,1,30.4569012,78.0749361
4,Clement Town Cantonment Board,11,30.2613281,78.0120117
5,Natthan Pur Census Town,0,30.2835847,78.07601446
6,Mehu Wala Mafi Census Town,12,30.31138745,77.98641525
7,Natthuwa Wala Census Town,0,30.30984363,77.98990126
8,Doiwala Nagar Panchayat,5,30.17228565,78.11712643
9,Landaur Cantonment Board,0,30.46034775,78.09775587
10,Akhandwali Bhilang,0,30.30549532,78.16233534
11,Amwala Karanpur,1,30.34604921,78.09109608
12,Amwala Manjhala,2,30.33907647,78.08169107
13,Amwala Tarala,1,30.33415699,78.07201867
14,Arcadia Grant,3,30.31266541,77.95516692
15,Asarori,0,30.25283322,77.98172744
16,Ashkrodi Range,2,30.20704993,77.99726308
17,Asthal,3,30.3531046,78.11170479
18,Badripur,13,30.28366738,78.06449479
19,Bagradhauran,4,30.40833,78.12516247
20,Bagral Gaon,0,30.40756543,78.07761799
21,Bajhet,0,30.3391201,78.10619558
22,Balawala,11,30.26310717,78.10348047
23,Bandawali,2,30.37843356,78.12095828
24,Banjarewala Mafi,20,30.27612677,78.02499926
25,Banvtha,0,30.36060198,78.11615756
26,Barasi Grant,0,30.24785611,78.16349204
27,Bhagwant Pur,0,30.41081524,78.06765941
28,Bhaiswargaon,0,30.39124786,78.14361602
29,Bhandar Gaon,1,30.40984922,78.09196061
30,Bhandariwala,0,30.37474664,78.1162098
31,Bhitar Wali,0,30.42651129,78.03466597
32,Bhopalpani Grant,2,30.25336386,78.15729744
33,Bilas Pur Kandali,2,30.35306704,77.99333565
34,Bisht Gaon,1,30.39613676,78.04640239
35,Brahman Gaon,0,30.40454824,78.06552869
36,Chaktonwala Grant,5,30.28808781,78.09455578
37,Chalang,1,30.3919667,78.10543509
38,Chamasari,0,30.4232489,78.10554386
39,Chandrabani,2,30.28600214,77.97200979
40,Chandrothi,1,30.38012237,78.05875407
41,Chandrvani Grant,0,30.27418885,77.98134761
42,Chandrwani Khalsa,1,30.27950151,77.98418837
43,Chhamroli,2,30.40440247,78.16807723
44,Daiswala,0,30.18066969,78.11961659
45,Danda Dhoran,0,30.36000881,78.08816708
46,Danda Khudanewala,0,30.35613793,78.0950083
47,Danda Lakhaur,0,30.35329382,78.09854827
48,Danda Nooriwala,0,30.35479736,78.08374148
49,Danion Ka Danda,0,30.39678237,78.08186973
50,Dhanaula,0,30.39480913,78.12150526
51,Doiwala,0,30.1768858,78.1180711
52,Doom Gaon,0,30.41706173,78.0734184
53,Dudhali,0,30.23513203,78.01310394
54,Dumal Gaon,0,30.40695086,78.09774514
55,Dwara,0,30.30859838,78.1212213
56,Fuleta,3,30.41853269,78.17305631
57,Gajiawala,0,30.37455523,78.04428042
58,Galajwari,0,30.39526064,78.03125683
59,Gangole Pandit Wari,0,30.38084767,78.04685189
60,Ghanghora,0,30.36619345,78.01139264
61,Ghissar Pari,0,30.14721467,78.13018787
62,Gujrami,0,30.35784522,78.10811532
63,Gujrara Mansingh,0,30.3713248,78.09455346
64,Guniyal Gaon,0,30.39202951,78.06869746
65,Hansuwala,3,30.1619024,78.14293685
66,Harbans Wala,2,30.31407554,77.9863972
67,Harbhaj Wala,3,30.29822106,77.96233178
68,Haripur,8,30.27157693,78.06166649
69,Hariyawala Khurd,0,30.37534311,78.006285
70,Harrawala,15,30.32259854,78.04133701
71,Haryawala,0,30.32775192,78.08817503
72,Hatwalgaon,0,30.33686516,78.09384523
73,Jagatkhana,0,30.3647111,78.09944233
74,Jamoliwala,0,30.4021763,78.05111404
75,Jamoliwala,1,30.4021763,78.05111404
76,Johari,2,30.37469204,78.06744885
77,Kairwan Karanpur,0,30.40370693,78.10605232
78,Kalagaon,0,30.29083608,78.03074151
79,Kalimati,0,30.26351428,78.17076497
80,Karliguard,0,30.40949342,78.14079455
81,Khala Gaon,0,30.40969805,78.0805424
82,Kheragopiwala,0,30.41130818,78.0438629
83,Kheri Mansingh,0,30.36154274,78.13021671
84,Khuranwa,0,30.39451039,78.0988192
85,Kirsali,2,30.37487005,78.10421501
86,Kirsali Gaon,0,30.40312168,78.08408235
87,Kishan Pur,0,30.3703179,78.0808595
88,Kiwara,0,30.42145749,78.21854903
89,Kulhan Karanpur,0,30.37988518,78.10596
90,Kulhan Mansingh,0,30.37585291,78.10889137
91,Kuthal Gaon,0,30.40703868,78.08391922
92,Kuwan Wala,0,30.24710987,78.09773666
93,Kyar Kuli Bhatta,0,30.43963584,78.05178869
94,Lachhi Wala,0,30.19487016,78.13973685
95,Lachhiwala Range,0,30.20988809,78.10022546
96,Ladpur,0,30.31565933,78.07419376
97,Majari Mafi,10,30.26976553,78.07002836
98,Majhara,0,30.41005819,78.1317442
99,Makka Wala,0,30.40060156,78.07436675
100,Malsi,1,30.38071888,78.06057503
101,Mangaluwala,0,30.32608979,78.09600515
102,Marautha,0,30.38355636,78.11273262
103,Markham Grant,0,30.16780055,78.10791567
104,Missar Wala Kala,0,30.18833161,78.12335179
105,Missar Wala Khurd,0,30.17760113,78.12219164
106,Mitt Behti,0,30.32057847,77.95778866
107,Miyanwala,11,30.26658186,78.09095973
108,Mohabbey Wala,5,30.27353321,77.97862945
109,Mohammadpur Barkali,0,30.24897179,77.99135233
110,Mohkam Pur Kala,3,30.2761192,78.07887728
111,Mohkam Pur Khurd,8,30.26189831,78.07480001
112,Motharo Wala,2,30.26523652,78.03096381
113,Motidhar,0,29.98901186,78.18669736
114,Mussorie Range,2,30.46263322,77.97933627
115,Mussorie Range,0,30.46263322,77.97933627
116,Nagal Bulandawala,0,30.22692203,78.01605143
117,Nagal Jwalapur,0,30.21435199,78.0367059
118,Nagalhat Nala,6,30.38698557,78.10926337
119,Nakraunda,11,30.23690459,78.12812244
120,Naliwala,0,30.43527609,78.15172804
121,Nanur Khera,0,30.32985595,78.07688005
122,Nawada,0,30.26549618,78.06012064
123,Paw Wala Soda,0,30.24315205,78.17853573
124,Phanduwala,0,30.24294448,78.00101108
125,Pitthuwala,7,30.29165427,77.98299679
126,Punkal Gaon,0,30.41742004,78.05701156
127,Purohit Wala,0,30.37245271,78.0289759
128,Pustari,0,30.37413827,78.13618015
129,Raipur Range,2,30.43317525,78.12280412
130,Ramgarh Range,0,30.10459907,78.08165879
131,Reniwala,0,30.35528431,78.12407755
132,Rikhauli,0,30.41951181,78.00806825
133,Salan Gaon,0,30.40918165,78.06598188
134,Saloniwala,0,30.39522576,78.06000349
135,Sarauna,0,30.41667513,78.14589489
136,Sarkhet,0,30.37878695,78.14966543
137,Saundhauwali Mansingh,3,30.3380333,78.07620901
138,Sera goan,2,30.30431179,78.23125361
139,Seraki,0,30.34826642,78.13504322
140,Shewala Kala,2,30.29403956,77.99503996
141,Shewala Khurd,2,30.29403956,77.99503996
142,Sigli,0,30.40207454,78.05318932
143,Silla,0,30.42507578,78.20350677
144,Simiyari,0,30.41020023,78.19695802
145,Simlas Grant,0,30.20118172,78.03794082
146,Sinaula,0,30.38058322,78.07275505
147,Sindhuwala Dhauran,0,30.34493066,77.93022695
148,Sodasaroli,0,30.28328657,78.13927035
149,Sunderwala,0,30.32167206,78.08489472
150,Tarla Nagal,0,30.3766811,78.09208543
151,Thewa,0,30.33975403,78.12127428
152,Tibbanala Pani,1,30.33796459,78.09990825
153,Timilimansingh,0,30.3819667,78.13443992
154,Utari Gaon,0,30.3986421,78.06456691
155,Vijepur Gopiwala,2,30.37472936,78.05571052
156,Vijepur Hathibarkala,1,30.35265937,78.05678883
